      Z[km]    P [dyn/cm^2]  Rho [g/cm^2]     T[K]
     -13788.5  1.75038e+10   0.00141288      98582.5
     -13811.8  1.75977e+10   0.00141767      98762.0
     -13835.1  1.76920e+10   0.00142248      98941.6
     -13858.4  1.77868e+10   0.00142729      99121.2
     -13881.7  1.78817e+10   0.00143211      99300.8
     -13905.0  1.79771e+10   0.00143695      99480.4
     -13928.3  1.80728e+10   0.00144178      99660.0
     -13951.6  1.81688e+10   0.00144663      99839.6
     -13974.9  1.82653e+10   0.00145149      100019.
     -13998.2  1.83618e+10   0.00145634      100199.
     -14021.5  1.84588e+10   0.00146121      100378.
     -14044.8  1.85563e+10   0.00146609      100558.
     -14068.1  1.86538e+10   0.00147096      100737.
     -14091.4  1.87519e+10   0.00147585      100917.
     -14114.7  1.88503e+10   0.00148075      101096.
     -14138.0  1.89488e+10   0.00148564      101276.
     -14161.3  1.90478e+10   0.00149055      101455.
     -14184.6  1.91471e+10   0.00149547      101635.
     -14207.9  1.92467e+10   0.00150039      101814.
     -14231.2  1.93469e+10   0.00150533      101994.
     -14254.5  1.94471e+10   0.00151026      102173.
     -14277.8  1.95477e+10   0.00151520      102353.
     -14301.1  1.96488e+10   0.00152016      102532.
     -14324.4  1.97500e+10   0.00152511      102711.
     -14347.7  1.98517e+10   0.00153007      102891.
     -14371.0  1.99538e+10   0.00153505      103070.
     -14394.3  2.00560e+10   0.00154002      103250.
     -14417.6  2.01587e+10   0.00154501      103429.
     -14440.9  2.02618e+10   0.00155001      103609.
     -14464.2  2.03650e+10   0.00155500      103788.
     -14487.5  2.04688e+10   0.00156001      103967.
     -14510.8  2.05729e+10   0.00156503      104147.
     -14534.1  2.06772e+10   0.00157005      104326.
     -14557.4  2.07820e+10   0.00157508      104506.
     -14580.7  2.08871e+10   0.00158012      104685.
     -14604.1  2.09924e+10   0.00158515      104865.
     -14627.4  2.10983e+10   0.00159021      105044.
     -14650.7  2.12044e+10   0.00159527      105224.
     -14674.0  2.13107e+10   0.00160032      105403.
     -14697.3  2.14176e+10   0.00160540      105583.
     -14720.6  2.15248e+10   0.00161047      105762.
     -14743.9  2.16322e+10   0.00161556      105942.
     -14767.2  2.17402e+10   0.00162066      106121.
     -14790.5  2.18483e+10   0.00162575      106301.
     -14813.8  2.19567e+10   0.00163086      106480.
     -14837.1  2.20657e+10   0.00163598      106660.
     -14860.4  2.21748e+10   0.00164109      106839.
     -14883.7  2.22843e+10   0.00164621      107019.
     -14907.0  2.23943e+10   0.00165135      107198.
     -14930.3  2.25045e+10   0.00165649      107378.
     -14953.6  2.26151e+10   0.00166164      107558.
     -14976.9  2.27263e+10   0.00166680      107737.
     -15000.2  2.28375e+10   0.00167196      107917.
     -15023.5  2.29491e+10   0.00167712      108096.
     -15046.8  2.30612e+10   0.00168230      108276.
     -15070.1  2.31735e+10   0.00168748      108456.
     -15093.4  2.32862e+10   0.00169267      108635.
     -15116.7  2.33994e+10   0.00169788      108815.
     -15140.0  2.35128e+10   0.00170308      108995.
     -15163.3  2.36266e+10   0.00170829      109174.
     -15186.6  2.37409e+10   0.00171352      109354.
     -15209.9  2.38553e+10   0.00171874      109534.
     -15233.2  2.39701e+10   0.00172397      109714.
     -15256.5  2.40855e+10   0.00172921      109893.
     -15279.8  2.42009e+10   0.00173446      110073.
     -15303.1  2.43168e+10   0.00173971      110253.
     -15326.4  2.44333e+10   0.00174498      110433.
     -15349.7  2.45498e+10   0.00175024      110613.
     -15373.0  2.46667e+10   0.00175551      110792.
     -15396.3  2.47842e+10   0.00176080      110972.
     -15419.6  2.49019e+10   0.00176609      111152.
     -15442.9  2.50199e+10   0.00177138      111332.
     -15466.2  2.51384e+10   0.00177669      111512.
     -15489.5  2.52572e+10   0.00178200      111692.
     -15512.8  2.53763e+10   0.00178731      111872.
     -15536.2  2.54960e+10   0.00179264      112052.
     -15559.5  2.56159e+10   0.00179798      112232.
     -15582.8  2.57361e+10   0.00180331      112412.
     -15606.1  2.58569e+10   0.00180866      112592.
     -15629.4  2.59780e+10   0.00181401      112772.
     -15652.7  2.60992e+10   0.00181936      112952.
     -15676.0  2.62209e+10   0.00182472      113132.
     -15699.3  2.63431e+10   0.00183009      113312.
     -15722.6  2.64654e+10   0.00183546      113493.
     -15745.9  2.65883e+10   0.00184085      113673.
     -15769.2  2.67117e+10   0.00184625      113853.
     -15792.5  2.68351e+10   0.00185163      114034.
     -15815.8  2.69591e+10   0.00185703      114214.
     -15839.1  2.70836e+10   0.00186245      114394.
     -15862.4  2.72081e+10   0.00186786      114575.
     -15885.7  2.73332e+10   0.00187328      114755.
     -15909.0  2.74589e+10   0.00187871      114935.
     -15932.3  2.75845e+10   0.00188414      115116.
     -15955.6  2.77106e+10   0.00188957      115296.
     -15978.9  2.78373e+10   0.00189503      115477.
     -16002.2  2.79641e+10   0.00190047      115657.
     -16025.5  2.80913e+10   0.00190593      115838.
     -16048.8  2.82190e+10   0.00191139      116018.
     -16072.1  2.83471e+10   0.00191686      116199.
     -16095.4  2.84753e+10   0.00192233      116379.
     -16118.7  2.86042e+10   0.00192782      116560.
     -16142.0  2.87335e+10   0.00193331      116741.
     -16165.3  2.88629e+10   0.00193880      116921.
     -16188.6  2.89928e+10   0.00194430      117102.
     -16211.9  2.91234e+10   0.00194982      117283.
     -16235.2  2.92538e+10   0.00195532      117464.
     -16258.5  2.93848e+10   0.00196084      117645.
     -16281.8  2.95165e+10   0.00196637      117826.
     -16305.1  2.96481e+10   0.00197190      118007.
     -16328.4  2.97803e+10   0.00197744      118188.
     -16351.7  2.99130e+10   0.00198299      118369.
     -16375.0  3.00460e+10   0.00198853      118550.
     -16398.3  3.01791e+10   0.00199408      118731.
     -16421.6  3.03130e+10   0.00199965      118912.
     -16444.9  3.04471e+10   0.00200522      119093.
     -16468.2  3.05814e+10   0.00201078      119274.
     -16491.6  3.07162e+10   0.00201636      119455.
     -16514.9  3.08517e+10   0.00202195      119637.
     -16538.2  3.09871e+10   0.00202753      119818.
     -16561.5  3.11230e+10   0.00203313      119999.
     -16584.8  3.12596e+10   0.00203874      120181.
     -16608.1  3.13963e+10   0.00204434      120362.
     -16631.4  3.15335e+10   0.00204995      120544.
     -16654.7  3.16712e+10   0.00205558      120725.
     -16678.0  3.18092e+10   0.00206121      120907.
     -16701.3  3.19474e+10   0.00206683      121088.
     -16724.6  3.20861e+10   0.00207247      121270.
     -16747.9  3.22254e+10   0.00207812      121452.
     -16771.2  3.23647e+10   0.00208376      121633.
     -16794.5  3.25045e+10   0.00208941      121815.
     -16817.8  3.26449e+10   0.00209508      121997.
     -16841.1  3.27855e+10   0.00210074      122179.
     -16864.4  3.29265e+10   0.00210640      122361.
     -16887.7  3.30680e+10   0.00211209      122543.
     -16911.0  3.32099e+10   0.00211777      122725.
     -16934.3  3.33520e+10   0.00212345      122907.
     -16957.6  3.34946e+10   0.00212915      123089.
     -16980.9  3.36378e+10   0.00213486      123271.
     -17004.2  3.37810e+10   0.00214055      123453.
     -17027.5  3.39247e+10   0.00214626      123635.
     -17050.8  3.40690e+10   0.00215198      123817.
     -17074.1  3.42134e+10   0.00215770      124000.
     -17097.4  3.43583e+10   0.00216342      124182.
     -17120.7  3.45038e+10   0.00216915      124365.
     -17144.0  3.46497e+10   0.00217490      124547.
     -17167.3  3.47956e+10   0.00218063      124730.
     -17190.6  3.49421e+10   0.00218638      124912.
     -17213.9  3.50893e+10   0.00219214      125095.
     -17237.2  3.52365e+10   0.00219790      125277.
     -17260.5  3.53842e+10   0.00220366      125460.
     -17283.8  3.55324e+10   0.00220944      125643.
     -17307.1  3.56811e+10   0.00221522      125826.
     -17330.4  3.58298e+10   0.00222099      126009.
     -17353.7  3.59790e+10   0.00222677      126191.
     -17377.0  3.61289e+10   0.00223257      126374.
     -17400.3  3.62788e+10   0.00223836      126557.
     -17423.7  3.64292e+10   0.00224416      126740.
     -17447.0  3.65803e+10   0.00224998      126923.
     -17470.3  3.67317e+10   0.00225579      127106.
     -17493.6  3.68833e+10   0.00226161      127290.
     -17516.9  3.70355e+10   0.00226743      127473.
     -17540.2  3.71883e+10   0.00227328      127656.
     -17563.5  3.73410e+10   0.00227910      127840.
     -17586.8  3.74943e+10   0.00228494      128023.
     -17610.1  3.76481e+10   0.00229079      128207.
     -17633.4  3.78022e+10   0.00229664      128390.
     -17656.7  3.79566e+10   0.00230249      128574.
     -17680.0  3.81116e+10   0.00230836      128757.
     -17703.3  3.82673e+10   0.00231424      128941.
     -17726.6  3.84229e+10   0.00232010      129125.
     -17749.9  3.85790e+10   0.00232598      129308.
     -17773.2  3.87357e+10   0.00233187      129492.
     -17796.5  3.88927e+10   0.00233776      129676.
     -17819.8  3.90499e+10   0.00234365      129860.
     -17843.1  3.92076e+10   0.00234954      130044.
     -17866.4  3.93660e+10   0.00235546      130228.
     -17889.7  3.95243e+10   0.00236136      130412.
     -17913.0  3.96833e+10   0.00236727      130596.
     -17936.3  3.98428e+10   0.00237320      130780.
     -17959.6  4.00028e+10   0.00237913      130964.
     -17982.9  4.01629e+10   0.00238506      131149.
     -18006.2  4.03236e+10   0.00239100      131333.
     -18029.5  4.04850e+10   0.00239695      131517.
     -18052.8  4.06463e+10   0.00240290      131702.
     -18076.1  4.08081e+10   0.00240884      131886.
     -18099.4  4.09705e+10   0.00241481      132071.
     -18122.7  4.11334e+10   0.00242078      132255.
     -18146.0  4.12962e+10   0.00242674      132440.
     -18169.3  4.14598e+10   0.00243271      132625.
     -18192.6  4.16239e+10   0.00243869      132809.
     -18215.9  4.17882e+10   0.00244468      132994.
     -18239.2  4.19528e+10   0.00245066      133179.
     -18262.5  4.21180e+10   0.00245666      133364.
     -18285.8  4.22839e+10   0.00246267      133549.
     -18309.1  4.24497e+10   0.00246867      133734.
     -18332.4  4.26160e+10   0.00247467      133919.
     -18355.7  4.27830e+10   0.00248069      134104.
     -18379.1  4.29505e+10   0.00248672      134289.
     -18402.4  4.31179e+10   0.00249274      134474.
     -18425.7  4.32860e+10   0.00249877      134660.
     -18449.0  4.34548e+10   0.00250482      134845.
     -18472.3  4.36236e+10   0.00251085      135030.
     -18495.6  4.37928e+10   0.00251689      135216.
     -18518.9  4.39625e+10   0.00252295      135401.
     -18542.2  4.41331e+10   0.00252901      135586.
     -18565.5  4.43034e+10   0.00253507      135772.
     -18588.8  4.44743e+10   0.00254113      135958.
     -18612.1  4.46460e+10   0.00254722      136143.
     -18635.4  4.48181e+10   0.00255330      136329.
     -18658.7  4.49901e+10   0.00255938      136515.
     -18682.0  4.51627e+10   0.00256546      136701.
     -18705.3  4.53361e+10   0.00257157      136886.
     -18728.6  4.55096e+10   0.00257767      137072.
     -18751.9  4.56834e+10   0.00258376      137258.
     -18775.2  4.58580e+10   0.00258988      137444.
     -18798.5  4.60330e+10   0.00259600      137630.
     -18821.8  4.62082e+10   0.00260212      137817.
     -18845.1  4.63837e+10   0.00260824      138003.
     -18868.4  4.65600e+10   0.00261438      138189.
     -18891.7  4.67368e+10   0.00262053      138375.
     -18915.0  4.69134e+10   0.00262666      138562.
     -18938.3  4.70908e+10   0.00263280      138748.
     -18961.6  4.72688e+10   0.00263896      138934.
     -18984.9  4.74472e+10   0.00264513      139121.
     -19008.2  4.76256e+10   0.00265128      139307.
     -19031.5  4.78046e+10   0.00265745      139494.
     -19054.8  4.79845e+10   0.00266363      139681.
     -19078.1  4.81644e+10   0.00266981      139867.
     -19101.4  4.83445e+10   0.00267599      140054.
     -19124.7  4.85253e+10   0.00268218      140241.
     -19148.0  4.87069e+10   0.00268838      140428.
     -19171.3  4.88883e+10   0.00269457      140614.
     -19194.6  4.90703e+10   0.00270078      140801.
     -19217.9  4.92530e+10   0.00270699      140988.
     -19241.2  4.94363e+10   0.00271322      141175.
     -19264.5  4.96193e+10   0.00271943      141363.
     -19287.8  4.98031e+10   0.00272565      141550.
     -19311.1  4.99875e+10   0.00273189      141737.
     -19334.5  5.01723e+10   0.00273813      141924.
     -19357.8  5.03573e+10   0.00274436      142111.
     -19381.1  5.05429e+10   0.00275061      142299.
     -19404.4  5.07291e+10   0.00275687      142486.
     -19427.7  5.09157e+10   0.00276313      142673.
     -19451.0  5.11023e+10   0.00276939      142861.
     -19474.3  5.12895e+10   0.00277566      143048.
     -19497.6  5.14775e+10   0.00278194      143236.
     -19520.9  5.16658e+10   0.00278822      143424.
     -19544.2  5.18543e+10   0.00279450      143611.
     -19567.5  5.20434e+10   0.00280080      143799.
     -19590.8  5.22334e+10   0.00280710      143987.
     -19614.1  5.24232e+10   0.00281340      144175.
     -19637.4  5.26132e+10   0.00281970      144363.
     -19660.7  5.28041e+10   0.00282601      144550.
     -19684.0  5.29955e+10   0.00283234      144738.
     -19707.3  5.31871e+10   0.00283866      144926.
     -19730.6  5.33791e+10   0.00284498      145114.
     -19753.9  5.35719e+10   0.00285132      145302.
     -19777.2  5.37653e+10   0.00285767      145491.
     -19800.5  5.39585e+10   0.00286401      145679.
     -19823.8  5.41523e+10   0.00287036      145867.
     -19847.1  5.43467e+10   0.00287672      146055.
     -19870.4  5.45419e+10   0.00288309      146244.
     -19893.7  5.47369e+10   0.00288945      146432.
     -19917.0  5.49325e+10   0.00289581      146620.
     -19940.3  5.51287e+10   0.00290220      146809.
     -19963.6  5.53257e+10   0.00290859      146997.
